"","variable","na_val","prop_na"
"1","Catalyst 4",0,0
"2","Catalyst 3",0,0
"3","Catalyst 2",0,0
"4","Catalyst 1",0,0
"5","CAAD8 Claris",0,0
"6","Trail 5",0,0
"7","Synapse Claris",0,0
"8","Trail 4",0,0
"9","CAAD8 Sora",0,0
"10","Trail 3",0,0
"11","CAAD8 Tiagra",0,0
"12","Synapse Disc Tiagra",0,0
"13","Trail 2",0,0
"14","CAAD8 105",0,0
"15","Synapse Disc 105",0,0
"16","Beast of the East 3",0,0
"17","CAAD12 105",0,0
"18","SuperX Rival CX1",0,0
"19","F-Si 3",0,0
"20","Supersix Evo Tiagra",0,0
"21","Syapse Carbon Tiagra",0,0
"22","CAAD12 Disc 105",0,0
"23","Habit 6",0,0
"24","Slice 105",0,0
"25","SuperX 105",0,0
"26","F-Si 2",0,0
"27","Beast of the East 2",0,0
"28","Fat CAAD2",0,0
"29","Synapse Disc Adventure",0,0
"30","CAAD12 Ultegra",0,0
"31","Supersix Evo 105",0,0
"32","Synapse Carbon 105",0,0
"33","F-Si 1",0,0
"34","Habit 5",0,0
"35","Bad Habit 2",0,0
"36","CAAD Disc Ultegra",0,0
"37","Supersix Evo Ultegra 4",0,0
"38","Synapse Carbon Disc 105",0,0
"39","Synapse Carbon Ultegra 4",0,0
"40","Slice Ultegra",0,0
"41","Beast of the East 1",0,0
"42","F-Si Carbon 4",0,0
"43","Habit 4",0,0
"44","Bad Habit 1",0,0
"45","CAAD12 Red",0,0
"46","Jekyll Carbon 4",0,0
"47","Scalpel-Si 5",0,0
"48","Scalpel 29 4",0,0
"49","Slice Ultegra D12",0,0
"50","Supersix Evo Ultegra 3",0,0
"51","Synapse Carbon Ultegra 3",0,0
"52","Trigger Carbon 4",0,0
"53","SuperX Hi-Mod CX1",0,0
"54","Fat CAAD1",0,0
"55","Synapse Carbon Disc Ultegra",0,0
"56","Trigger Carbon 3",0,0
"57","Supersix Evo Red",0,0
"58","CAAD12 Disc Dura Ace",0,0
"59","Scalpel-Si Carbon 4",0,0
"60","Scalpel 29 Carbon 3",0,0
"61","Supersix Evo Hi-Mod Utegra",0,0
"62","Slice Hi-Mod Dura Ace D12",0,0
"63","F-Si Carbon 2",0,0
"64","Synapse Carbon Disc Ultegra D12",0,0
"65","Habit Carbon 2",0,0
"66","Scalpel-Si Carbon 3",0,0
"67","Scalpel 29 Carbon 2",0,0
"68","Supersix Evo Hi-Mod Dura Ace 2",0,0
"69","Synapse Hi-Mod Disc Ultegra",0,0
"70","Synapse Hi-Mod Dura Ace",0,0
"71","Trigger Carbon 2",0,0
"72","F-Si Hi-Mod 1",0,0
"73","Slice Hi-Mod Black Inc.",0,0
"74","Habit Carbon 1",0,0
"75","Scalpel-Si Hi-Mod 1",0,0
"76","Synapse Hi-Mod Disc Red",0,0
"77","Jekyll Carbon 1",0,0
"78","Trigger Carbon 1",0,0
"79","F-Si Hi-Mod Team",0,0
"80","Scalpel-Si Race",0,0
"81","Supersix Evo Hi-Mod Team",0,0
"82","Habit Hi-Mod Black Inc.",0,0
"83","Scalpel-Si Black Inc.",0,0
"84","Supersix Evo Black Inc.",0,0
"85","Synapse Sora",0,0
"86","Trail 1",0,0
"87","SuperX Ultegra",0,0
"88","Habit Carbon 3",0,0
"89","Jekyll Carbon 3",0,0
"90","Habit Carbon SE",0,0
"91","CAAD12 Black Inc",0,0
"92","Jekyll Carbon 2",0,0
"93","Scalpel 29 Carbon Race",0,0
"94","Supersix Evo Hi-Mod Dura Ace 1",0,0
"95","Synapse Hi-Mod Disc Black Inc.",0,0
"96","Scalpel-Si Carbon 2",0,0
"97","F-Si Black Inc.",0,0
